lng,lat
-96.695966,32.832639
-97.96974,30.316397
-96.991673,32.966518
-96.813281,32.966982
-96.734927,32.94324
-96.848047,32.75273
-96.848725,32.991726
-94.186246,36.053888
-96.842492,32.99955
-96.849338,32.749072
-97.13409,33.224306
-96.779207,32.810273
-114.362918,48.441671
-73.983971,40.702705
-97.111251,32.63955
-96.791919,32.801474
-96.786868,32.781497
-96.883553,33.168233
-97.006333,32.565633
-96.643839,32.81085
-96.673268,32.96874
-96.788775,32.791593
-96.795463,32.853665
-96.831886,32.751447
-104.901097,39.461851
-85.123491,41.17447
-96.752495,32.807102
-96.827985,32.913457
-96.73288,32.813438
-97.74887,30.259399
-95.493394,30.167572
-96.71784,32.982551
-96.74115,32.883798
-96.610521,32.846414
-94.812019,32.126252
-97.371605,37.707698
-96.425655,32.903678
-96.685383,32.821624
-96.746402,32.831047
-96.767578,32.813977
-96.981918,32.987071
-96.779584,32.877713
-96.779299,32.986249
-96.83559,32.734636
-96.674497,32.983328
-96.814115,32.849707
-96.774654,32.856308
-96.770826,32.918744
-96.772492,32.859201
-98.638838,29.724691
-97.262351,32.885799
-96.715791,32.807599
-96.790311,32.791006
-96.714315,32.812994
-96.468139,32.958281
-96.756161,32.920587
-76.863166,38.991413
-96.972593,32.650024
-96.748432,32.868037
-96.755397,32.856367
-95.800573,36.283998
-96.749745,32.914883
-96.724501,32.652053
-96.733978,32.901025
-96.838613,32.753769
-96.697378,32.8178
-96.838894,32.730181
-96.73245,32.885903
-96.724378,32.871969
-96.741177,32.898912
-96.844094,32.865879
-96.76813,32.878671
-96.719961,32.865619
-96.731515,32.896411
-96.654063,32.766225
-96.843004,32.877614
-104.870315,39.669822
-96.682218,32.825963
-96.77006,33.0432
-96.83098,32.74227
-96.704776,32.861491
-96.680025,32.837662
-96.774877,32.891828
-96.771688,32.893653
-96.80749,32.837873
-97.245121,32.929679
-97.036258,33.115546
-96.805078,32.812846
-96.688638,33.095857
-96.804457,32.851405
-96.611285,32.95458
-96.819526,32.818711
-96.87277,32.866288
-97.359038,32.704555
-96.786034,32.848714
-96.789313,32.848234
-96.7039,33.00516
-96.819887,32.825843
-95.316937,32.306498
-96.848644,32.919403
-96.82305,32.40346
-84.376294,33.823859
-96.816485,32.815717
-118.455802,34.153889
-96.76723,32.69941
-96.822713,32.820684
-96.816134,32.936595
-96.777051,32.827119
-96.775115,32.832056
-96.762904,32.806053
-96.814083,32.962822
-96.820871,33.057817
-96.798722,32.808203
-96.61475,32.806977
-118.397988,34.028237
-96.798279,32.808168
-96.794685,32.813107
-92.656599,32.620375
-96.696477,32.923245
-74.006183,40.742076
-96.341253,33.452695
-96.833527,32.98192
-96.826003,33.008059
-96.788868,32.94907
-82.791345,28.010646
-96.764687,32.819511
-96.792936,32.844697
-96.998782,33.013078
-97.147168,32.753478
-122.30766,37.895433
-96.788654,32.710354
-97.312676,32.734173
-96.80217,32.79947
-97.782043,30.245453
-96.777951,32.853267
-97.756354,26.206091
-96.853005,32.747448
-96.873281,32.730458
-96.11402,33.139394
-81.392547,28.751476
-96.877164,32.701052
-96.788282,32.837766
-96.789096,32.843109
-96.797964,32.783114
-96.671104,32.999716
-96.799862,32.808526
-97.084836,33.025099
-97.061148,33.024384
-96.855594,32.718258
-96.679202,32.913117
-96.687473,32.753194
-96.882901,33.175741
-118.554601,34.411198
-96.756073,32.989717
-96.823986,32.816581
-96.81151,32.792614
-96.984173,32.978108
-96.8608,33.09404
-96.829108,32.46571
-96.795677,32.798012
-97.727416,30.290871
-96.808559,32.801362
-96.785721,32.853256
-84.375062,34.042389
-96.763719,33.044737
-96.852948,33.002849
-96.8057,32.838875
-104.753311,38.938784
-96.808578,32.817235
-96.784162,32.801321
-96.72853,32.983825
-96.812097,32.835965
-96.799641,32.831954
-96.748074,32.821273
-96.935105,32.832675
-96.998034,32.655654
-96.996044,32.701202
-96.958787,32.623657
-97.073926,32.583397
-112.111874,33.794585
-97.505846,35.238096
-96.833742,32.881647
-96.79085,32.865116
-96.555969,32.738719
-96.771724,32.937284
-96.55558,32.745548
-96.79886,32.815124
-97.374138,32.837593
-97.57376,32.821285
-96.603702,32.665255
-96.809756,32.850883
-96.289037,30.542977
-118.558228,34.429661
-96.782516,32.766668
-96.826779,32.961582
-96.83609,32.716206
-96.859689,32.912556
-97.132979,32.857615
-97.147435,32.999448
-86.768098,36.18937
-96.807827,32.794983
-96.795647,32.767588
-95.434542,29.69348
-96.938538,32.527918
-111.85261,40.552269
-94.584681,39.044081
-96.815019,32.822474
-97.388049,32.736418
-97.716605,30.306151
-96.845238,33.096181
-97.721451,30.223214
-92.16824,32.55654
-96.910969,32.68529
-97.400419,32.708548
-96.809342,32.676755
-96.851872,33.102127
-96.844266,32.721133
-95.955092,36.093553
-75.152944,39.92705
-97.049507,32.726466
-86.898518,36.116375
-118.592946,34.182946
-95.973828,36.115894
-96.54053,32.930814
-95.260437,29.533652
-96.824268,33.033594
-96.633933,33.088359
-96.740858,32.802455
-96.467605,32.946826
-96.785184,32.857353
-97.088569,32.6254
-96.748765,32.83618
-97.418429,27.746101
-96.733253,33.001131
-96.757762,32.823442
-96.682857,32.86918
-96.790199,32.843121
-96.770356,32.812552
-96.585948,32.920456
-74.19817,41.201775
-105.094224,40.558713
-96.976404,32.909005
-96.747141,32.9691
-90.190973,35.13563
-96.838253,32.536618
-96.736394,32.852986
-96.740434,32.89108
-96.815827,32.822963
-96.82691,33.007133
-95.51866,30.198113
-94.801,32.508461
-96.829878,32.441782
-96.651626,32.738817
-96.832892,32.639078
-96.584371,33.635396
-96.983694,33.002957
-96.848607,32.784984
-96.802168,32.999946
-97.346207,32.714495
-96.697029,32.745134
-96.776462,32.811253
-96.63456,33.102321
-97.103335,33.193415
-97.189576,32.876437
-96.805123,32.799904
-96.829755,32.848267
-97.167794,32.643491
-97.114703,32.628952
-122.858629,45.455483
-96.675134,32.965821
-97.134127,32.574193
-96.817212,32.811483
-119.126455,36.298465
-96.743408,32.886832
-96.765471,32.82269
-118.230409,33.90481
-96.875094,32.730428
-96.64135,32.998255
-98.551004,33.941911
-96.839649,32.393367
-117.452503,34.14145
-96.592231,33.042908
-96.79,33.046581
-97.502098,35.312308
-96.830437,32.60209
-117.224458,33.079306
-95.963558,41.25511
-96.769999,33.079326
-96.716757,32.642854
-96.88716,32.944839
-96.453646,32.854004
-90.019322,34.930714
-101.879064,33.593297
-96.791728,32.949155
-96.707223,32.797714
-95.76199,29.795303
-96.625361,32.948437
-97.736277,30.21722
-96.69138,32.818758
-97.706584,30.26195
-97.0143,32.574648
-96.646796,32.832747
-96.87331,32.900943
-79.78567,36.067869
-96.11402,33.139394
-96.78767,32.840533
-96.789022,32.848344
-96.876538,32.784013
-97.494909,35.240254
-96.819417,32.827493
-92.266557,34.813467
-95.313763,32.305433
-96.585906,33.290045
-97.39407,32.606645
-102.152019,32.027051
-96.822861,33.007862
-96.81951,32.740555
-97.091294,32.885819
-97.269381,32.905721
-96.770954,32.811948
-96.772202,32.842404
-96.866585,33.056383
-96.867265,33.090593
-95.485346,29.746148
-96.776526,32.811048
-97.01227,33.013507
-96.73844,32.980328
-96.785299,32.804202
-96.794908,32.796112
-93.735589,32.478468
-97.873263,33.485018
-96.819075,32.813165
-96.868388,32.741539
-96.822664,32.818014
-96.655091,33.169604
-96.780688,32.847032
-96.618815,33.023921
-96.677645,33.17084
-96.438608,32.965142
-96.953081,32.59059
-97.002371,32.960989
-96.779537,32.827975
-96.782093,32.813153
-96.769513,32.91133
-96.774807,32.850772
-96.831241,32.851041
-95.560042,30.192365
-117.687246,33.487949
-96.689706,33.038953
-96.835286,32.770084
-97.792266,35.272224
-96.748213,32.82169
-94.638699,38.878843
-92.29662,38.94477
-96.817212,32.811483
-96.948437,32.947408
-96.918918,33.182801
-96.934262,32.880446
-96.953966,32.974306
-96.764581,32.850608
-98.531898,29.612776
-97.230831,32.500341
-96.82033,32.825465
-96.802455,32.812773
-96.854812,32.864722
-96.767443,33.058354
-96.934811,32.863002
-97.172585,31.539236
-96.796533,32.812615
-96.763389,32.81694
-96.759247,32.854327
-96.843758,32.565474
-101.894045,33.555551
-97.067797,32.817552
-97.141562,32.867586
-95.402596,29.764214
-96.839583,32.917455
-96.762156,32.839295
-95.142624,29.55893
-96.749185,32.896088
-96.316125,30.569577
-95.89599,36.083306
-96.46563,32.91862
-72.432145,43.357941
-96.680128,33.034984
-96.73297,32.812472
-96.886484,32.574957
-96.773184,32.903894
-96.795537,32.782079
-97.480935,35.640957
-96.832247,32.729036
-96.819411,32.817455
-90.826643,29.799046
-87.807726,36.568598
-96.792899,32.872239
-96.732605,32.823717
-96.831253,32.772872
-97.749316,30.290099
-96.760002,32.946974
-96.811774,32.814064
-96.826411,32.841687
-96.478127,32.869978
-97.261412,32.544177
-97.229319,32.922457
-96.779719,32.966802
-96.811827,32.820811
-96.770532,32.80353
-97.446123,35.214888
-96.315206,30.618644
-91.140227,30.511586
-97.202972,31.471973
-96.763296,32.80088
-96.781547,32.818388
-98.101624,29.662577
-92.063576,34.207786
-96.834393,32.679421
-96.839993,32.820058
-96.759805,32.80821
-96.809033,32.943778
-96.765464,32.847325
-97.25307,32.852356
-96.897477,32.658552
-106.575535,35.130249
-96.787362,32.878816
-97.209383,32.875276
-96.852839,33.053033
-96.737333,32.848139
-96.779181,32.972738
-96.835286,32.770084
-121.30302,38.031211
-96.602263,32.759545
-96.92939,32.602917
-122.457877,37.702446
-96.710071,32.821071
-96.608762,32.793052
-96.740713,32.905686
-96.587593,32.667651
-97.227391,33.019074
-96.726645,33.07675
-97.730144,30.305609
-96.832391,32.908302
-96.878494,32.734799
-97.298675,32.900771
-96.843314,32.868231
-96.669582,32.957987
-96.795647,32.767588
-77.066644,38.926704
-96.703007,32.941245
-96.780604,32.98363
-86.742424,33.426006
-97.511489,35.267015
-96.74758,32.830622
-96.987625,32.807931
-96.791584,32.887541
-96.58791,33.016896
-96.731602,32.913737
-97.076388,32.856494
-96.770875,32.831566
-96.770539,32.833741
-88.172887,30.66197
-96.765312,32.847956
-96.765564,33.240381
-96.762979,32.849331
-96.800072,32.886017
-96.800403,32.797667
-96.861413,32.75741
-89.984913,32.307678
-97.443495,35.64808
-96.871842,32.729524
-96.81699,32.814842
-96.781738,32.848144
-96.800599,32.805507
-96.808687,32.799343
-96.817953,32.763514
-96.81064,32.802943
-96.761841,33.08622
-96.779013,32.793907
-96.804288,32.815063
-96.785626,32.803148
-96.807784,32.838911
-96.808136,32.839872
-97.334497,32.739889
-97.076686,33.1798
-96.79613,33.038222
-96.882609,33.08288
-96.782701,32.818909
-96.824209,32.822486
-96.779615,32.815271
-94.98286,29.17696
-96.774551,32.818478
-86.831961,36.081954
-96.769172,32.830223
-96.702909,32.786899
-96.809851,32.957298
-96.767657,32.831092
-96.822157,33.033224
-96.765257,32.813743
-97.349093,32.752968
-96.758611,32.86439
-96.711985,32.727414
-96.744726,32.842547
-96.667887,33.111713
-96.731785,33.084589
-96.845793,32.410951
-95.623554,29.630631
-96.804958,32.819428
-87.641024,41.943288
-98.01655,30.13148
-93.731184,32.464998
-96.771257,32.796622
-97.73055,30.319785
-96.83214,32.816359
-96.76569,32.852714
-96.757261,32.79862
-96.770929,32.827158
-97.009012,32.698789
-96.762444,32.86432
-96.577434,32.91766
-96.784793,32.878151
-92.618297,32.521156
-96.737284,32.806534
-96.770826,32.918744
-96.800487,32.799222
-96.888116,32.611913
-96.802143,32.802546
-99.70898,32.455166
-96.78057,32.812503
-96.692188,32.868005
-117.554545,33.94385
-118.398373,33.973903
-96.760182,32.802449
-101.869562,33.574309
-96.637704,32.856017
-96.843293,32.576765
-96.451682,32.866144
-96.762304,32.887011
-95.585574,29.7792
-96.761136,32.860526
-97.729937,30.267576
-96.753794,32.855983
-96.738829,32.883645
-96.789932,32.791487
-89.376949,43.08549
-96.741629,32.908771
-94.172626,36.076109
-96.765123,32.940147
-96.65083,32.766495
-95.83762,33.13362
-96.774319,32.90526
-96.923785,32.568953
-92.391364,31.347424
-92.42822,31.3375
-97.207638,32.747577
-97.086114,32.77399
-76.61989,39.287714
-96.771944,32.793561
-96.832247,32.729036
-96.708543,32.98325
-96.733735,33.054089
-96.934091,32.850023
-96.5258,33.009773
-96.918197,32.903449
-97.113829,32.863506
-97.437417,35.659059
-96.818391,33.05776
-96.869745,32.886662
-102.337266,31.878592
-96.749389,32.914378
-96.729755,32.873884
-96.739833,32.807572
-96.536076,32.723883
-95.740856,29.655716
-97.375454,32.757421
-94.16545,36.058527
-96.660437,32.79833
-96.79382,32.810442
-96.646237,33.114746
-97.929382,36.411575
-96.778435,33.101109
-96.763393,32.847769
-97.155862,32.948337
-96.799519,32.885563
-96.759493,32.83156
-96.709248,32.777028
-96.802598,32.944227
-97.012497,32.969085
-96.752524,32.832651
-96.744572,32.819814
-96.689784,32.791637
-101.870456,35.134031
-97.214738,32.819898
-96.753088,32.879498
-96.690387,32.711727
-96.728007,32.867211
-96.752488,32.940789
-97.327017,27.686567
-96.728183,32.896891
-96.711922,32.838395
-96.731504,32.884087
-96.722114,32.911216
-96.812738,32.87044
-96.769304,32.808758
-96.757062,32.879384
-96.767461,32.814539
-96.762131,32.848784
-96.763431,32.849202
-96.761291,32.852365
-96.763845,32.86163
-81.85823,41.15758
-96.768486,32.871715
-96.701886,33.078748
-97.775383,30.365727
-96.001692,36.048937
-96.733402,32.823677
-96.754106,32.880043
-96.815688,32.849562
-95.376012,29.754403
-96.921747,32.738283
-79.882067,40.537054
-96.839409,32.606242
-96.760606,32.859781
-96.530181,32.942716
-96.692557,32.8059
-96.957314,32.60557
-96.725464,32.874769
-96.795586,33.134363
-96.733242,32.891854
-96.759991,32.858786
-94.230118,36.217056
-96.720667,32.917472
-96.711207,32.900345
-96.725557,32.878049
-96.733684,33.109733
-94.389661,35.291889
-89.81422,35.087643
-97.128525,33.212992
-96.78504,32.803958
-96.76399,32.862019
-96.712475,33.110322
-96.790541,32.837939
-96.794021,32.895596
-96.810568,32.833371
-101.899228,33.571202
-97.000794,32.657338
-97.452732,35.347949
-96.754151,32.828562
-118.294296,34.0666
-97.018238,32.707796
-96.747009,32.866159
-96.702594,33.005702
-96.779994,32.965957
-96.750162,32.943723
-96.768486,32.871715
-96.760893,32.860151
-96.748162,32.917952
-96.727238,32.878522
-98.479646,29.56182
-93.993274,32.426783
-96.826078,32.964028
-96.79379,32.694918
-122.350997,37.975637
-96.469029,32.904416
-96.733285,32.941676
-96.741134,32.827103
-96.821898,33.073513
-97.448785,35.647769
-96.74024,32.843082
-104.689865,40.412035
-96.709937,33.137979
-96.735712,32.940922
-87.626679,41.895936
-96.951847,32.916816
-96.852642,33.144972
-96.930383,32.865501
-96.762663,32.883537
-96.808782,32.864394
-118.30703,34.08597
-96.751019,32.869211
-96.846234,32.857804
-96.955565,32.92747
-96.846678,32.754339
-96.706905,32.830294
-96.408997,32.71212
-96.738517,32.895669
-96.7403,33.00335
-96.796773,33.149326
-96.73485,32.807523
-79.93121,32.79219
-96.654473,33.180063
-92.511826,31.298863
-96.838375,32.538836
-96.802263,32.941662
-96.801904,32.795191
-96.636667,33.112859
-118.304107,34.096523
-96.961703,32.819202
-96.741333,32.97137
-96.730178,33.082786
-96.617562,32.966099
-96.618676,32.865172
-97.085846,33.039362
-71.45354,43.025795
-96.659423,32.893369
-96.742864,33.021898
-96.80502,33.029821
-96.837908,32.923189
-96.797923,33.109381
-96.499474,33.018714
-96.76528,32.832695
-97.530798,35.673857
-96.623992,33.019487
-97.084227,32.670567
-96.791505,32.892314
-101.929973,33.60308
-96.754697,32.819381
-97.764542,30.311067
-118.301303,34.183506
-96.735762,32.874238
-77.032058,38.92119
-96.737019,32.843089
-96.735548,33.035809
-96.740225,32.802694
-98.183426,26.226957
-96.667814,33.061939
-97.135421,32.861583
-96.835286,32.770084
-81.054113,33.893329
-76.98528,42.85954
-96.74918,33.26561
-97.322954,32.873169
-122.02652,37.562354
-97.622216,35.588151
-96.761726,32.831868
-97.355208,32.644625
-97.202444,32.696446
-97.766267,30.349217
-96.749382,32.808494
-96.715758,32.724336
-118.83823,34.183696
-117.256143,33.10019
-96.734038,32.813703
-96.852839,33.053033
-96.778043,32.882461
-91.575242,35.795536
-94.175323,30.108181
-105.069995,39.657672
-98.650633,29.503079
-96.698376,32.811501
-96.797339,32.909696
-96.858812,32.521177
-96.771926,32.891055
-96.717497,32.905285
-95.179165,29.534636
-97.402098,35.472744
-96.790006,32.969922
-96.907155,32.958386
-99.715317,32.39666
-96.781706,32.708616
-96.782307,32.812947
-97.07068,32.8413
-81.846991,41.279548
-117.264661,32.821933
-96.87227,32.709279
-96.972181,32.998633
-87.513474,33.252674
-96.589024,32.77278
-97.190065,32.882918
-96.729659,32.805571
-96.733353,32.885436
-96.814115,32.849707
-96.604141,32.836192
-96.953849,32.919876
-96.927085,32.737278
-96.762304,32.887011
-96.843029,32.868232
-96.74667,32.771041
-96.791981,32.829399
-96.788387,33.004643
-96.720386,32.933362
-117.156533,32.749737
-97.17524,32.678338
-96.772372,32.841867
-96.519766,32.889108
-97.001223,32.554308
-96.781198,32.848015
-90.130518,29.979002
-96.729659,32.805571
-96.855823,32.901017
-95.369066,29.703189
-96.849936,32.934189
-97.280922,32.946676
-96.784348,33.148776
-96.802618,32.851374
-96.875823,33.11012
-96.835018,33.185362
-97.628837,30.471983
-80.380127,26.129345
-96.779234,32.805887
-90.03727,30.471021
-97.802902,32.778574
-96.786789,33.076101
-97.215246,32.881267
-98.587041,29.575786
-96.628369,32.857925
-97.523667,35.625342
-97.13922,32.965602
-96.700583,32.914505
-96.649827,32.926644
-73.589666,40.87452
-96.78535,33.064504
-96.840389,32.667292
-96.926581,32.479739
-122.56434,45.46597
-98.45765,29.48171
-96.798905,32.870343
-95.397824,29.71573
-96.686656,33.157471
-122.386249,47.573313
-96.808272,32.817178
-96.808375,32.817266
-104.938085,39.774138
-118.298706,33.988571
-96.608762,32.793052
-96.919133,32.619687
-96.994066,32.448173
-123.069487,44.046198
-96.800766,32.882029
-96.809484,32.848022
-97.932547,30.459116
-95.450517,29.670572
-96.687434,32.948216
-96.645301,32.754342
-96.776112,32.850784
-73.921774,40.702649
-96.648615,34.774785
-96.43635,32.901308
-96.798475,32.887671
-96.696168,33.105264
-97.229258,32.955844
-96.457847,32.808694
-96.34322,30.586253
-84.581342,38.218925
-96.847181,32.944087
-117.949917,34.023405
-96.797589,32.781378
-93.320646,37.185669
-96.686473,33.021032
-78.59394,38.085057
-96.007217,36.370257
-119.723774,34.40297
-121.749282,38.55052
-96.638791,32.890956
-97.255868,32.574643
-96.778582,32.813773
-96.810372,32.786469
-94.095795,36.092964
-96.818373,32.806414
-96.798775,32.797533
-97.559566,35.509068
-96.601145,32.731339
-96.873132,33.126342
-96.791192,32.801997
-95.81415,29.74024
-97.141393,33.189755
-96.783254,32.813771
-96.794447,33.034341
-96.653662,33.176886
-93.766365,30.157642
-86.7099,36.183616
-95.342348,29.758321
-96.790042,32.788216
-96.560223,33.287352
-96.803481,32.800841
-96.803481,32.800841
-95.954071,36.709824
-95.44845,32.118546
-96.834749,32.98315
-96.714692,32.867638
-96.985549,32.852153
-96.807827,32.794983
-96.782268,32.785746
-96.778718,32.853692
-117.075055,32.771842
-96.784179,33.122356
-97.736741,30.221905
-84.35606,33.789773
-96.855486,33.169079
-118.338179,34.065758
-71.171777,42.354738
-96.638435,32.886385
-96.768667,32.94098
-96.479885,32.799603
-96.805119,32.726653
-96.751047,32.949506
-97.330518,32.91651
-80.997991,33.999437
-96.864739,32.735525
-97.923123,30.31322
-101.877303,33.5703
-96.804197,32.801894
-96.776829,32.85079
-96.910491,32.671295
-96.781639,32.847589
-112.083959,33.485131
-97.053568,33.092594
-97.054326,33.092014
-96.935433,32.863007
-96.623422,32.874521
-96.716109,33.003553
-96.771383,32.784818
-96.84582,32.988123
-107.087031,40.493422
-96.841219,32.996667
-118.404046,33.876789
-96.809505,32.817343
-96.645638,33.027107
-96.831645,32.910728
-96.792021,32.823992
-96.894899,32.717503
-97.005289,32.658328
-96.758235,32.788502
-96.821347,33.011097
-96.762714,32.794757
-96.462616,32.766159
-104.242478,32.426156
-96.737525,32.953765
-96.773293,32.834921
-96.766307,32.854798
-96.767083,32.822789
-96.759131,32.870044
-96.76082,32.818453
-96.866397,33.086226
-122.398691,47.676717
-96.74376,32.836329
-122.747124,45.491305
-96.738778,32.804166
-96.722474,33.113122
-96.656626,33.00168
-96.798027,32.779219
-97.127926,33.236031
-96.876298,33.16477
-97.1453,33.02186
-96.782296,32.84811
-96.561322,32.77962
-107.607979,37.310497
-96.463193,32.853567
-96.769288,32.829775
-96.982165,32.867278
-96.762459,32.973668
-84.337276,33.856778
-94.633135,31.632903
-97.133064,33.212774
-97.087675,32.892248
-105.08926,40.57092
-95.829066,29.750902
-96.85654,32.730337
-93.251558,44.990655
-96.619141,32.860546
-96.134246,32.931772
-96.714106,32.821786
-98.52468,29.96987
-96.832139,32.740317
-97.38194,32.84659
-96.758905,32.847504
-103.143751,32.734483
-96.757034,32.843401
-87.206205,30.413329
-93.87481,32.435137
-96.750396,32.833333
-96.581199,33.085611
-96.834591,32.819964
-94.171577,36.063657
-105.085061,40.571551
-96.709518,33.093022
-96.627227,33.125078
-96.755373,32.956732
-97.746472,30.289449
-97.135285,32.967536
-97.070887,32.552026
-118.35074,34.0856
-96.717575,32.996156
-98.4648,29.601082
-96.622979,32.936439
-96.750539,32.819665
-96.746168,32.854879
-96.737901,32.835963
-96.795464,32.850281
-96.45183,32.89436
-96.784378,32.850457
-97.446682,35.648054
-96.823915,32.874257
-73.126968,41.523597
-104.971441,39.675005
-97.276873,32.928233
-96.61614,32.715226
-97.630013,32.747634
-96.777021,32.93142
-96.841672,32.994583
-83.974478,35.704637
-119.752711,36.899622
-87.973287,41.776864
-96.795321,32.971349
-97.724659,30.266611
-75.16083,39.946302
-96.7141,32.729249
-97.129471,32.718675
-97.086889,33.06294
-96.759939,32.828339
-73.996636,40.743508
-96.957959,32.805431
-96.621556,33.121059
-96.777161,32.804258
-80.275663,25.318207
-97.453218,35.21654
-96.816726,32.334795
-90.76938,33.59799
-96.727876,32.865414
-82.698807,28.117511
-96.725848,33.02984
-97.096346,32.572697
-96.839916,32.82405
-96.758267,33.175872
-97.086783,32.668936
-95.243203,32.331624
-97.781966,30.478245
-96.812399,32.899914
-90.411776,38.637051
-96.788563,32.789456
-96.868179,32.737542
-96.664902,32.829908
-97.015287,32.699679
-96.755085,32.943377
-97.13805,32.922917
-96.977224,32.418882
-122.04752,36.973592
-97.12458,33.088844
-102.334431,31.872384
-96.788236,32.796304
-122.414417,37.793786
-84.254007,33.819798
-117.583998,33.469064
-96.796031,32.808374
-97.650399,38.361505
-96.779936,32.891693
-96.746592,33.164769
-96.617211,32.971958
-117.230362,32.916566
-96.404472,32.745628
-96.171127,41.265069
-95.518242,30.214425
-96.786198,32.78635
-97.151981,32.751939
-96.818959,32.868937
-97.083993,33.042899
-96.713299,32.887763
-97.111969,32.666252
-96.748597,32.894849
-77.45786,39.00091
-73.401814,41.206108
-97.007075,32.714739
-92.37793,38.949825
-96.97093,32.960294
-115.60424,32.99669
-97.28204,32.93566
-96.936177,32.864002
-96.701805,32.825526
-96.79927,32.970432
-96.777905,32.591927
-97.819225,30.43104
-96.448464,32.925726
-96.678991,32.839635
-96.299492,32.640724
-96.78784,32.7781
-96.78784,32.7781
-121.395276,38.571137
-104.939603,39.612833
-96.646508,32.948286
-96.814228,32.821218
-96.789126,32.777139
-122.021744,47.586682
-96.445085,33.024833
-96.785958,32.786521
-96.59137,32.726108
-96.45029,32.86965
-96.679202,32.913117
-94.1533,33.500134
-80.43528,37.24086
-97.125542,31.534693
-97.759558,30.2831
-96.739611,32.983366
-88.176029,41.638219
-96.964226,32.84752
-71.085953,42.39539
-97.41016,32.657863
-96.921276,32.672187
-97.13542,32.83818
-96.727234,33.194011
-95.577201,30.806908
-96.619283,32.938515
-96.663206,32.850113
-96.732551,32.964717
-96.772588,32.805126
-96.972187,32.960703
-96.736078,32.823418
-96.780586,32.884153
-96.780339,32.943173
-96.781996,32.970747
-96.583618,32.922494
-96.734917,32.851905
-96.834058,32.657545
-96.777735,32.984812
-96.770866,32.877629
-96.688055,32.7486
-95.886653,35.981423
-96.770916,32.919253
-96.700465,33.110244
-96.790634,32.79102
-76.863166,38.991413
-97.839524,30.198631
-97.892108,30.25891
-115.28451,36.018801
-97.134532,33.22247
-97.123865,33.107456
-90.502748,38.632077
-122.656308,45.465262
-96.734259,32.903738
-96.962174,32.972045
-96.72529,32.904
-96.862782,32.751301
-96.837662,32.542695
-96.779259,32.823769
-96.607467,33.007682
-96.800872,33.041058
-97.127614,32.859954
