lng,lat
-96.54053,32.930814
-98.424358,29.501378
-97.712011,33.104585
-97.41251,32.659
-97.421054,32.701967
-97.322437,32.851977
-93.547088,45.061412
-87.681256,42.072094
-97.791866,32.766765
-97.437519,32.647065
-97.336543,32.570669
-99.73896,32.241104
-97.875387,30.413311
-97.443498,32.815141
-95.389198,29.739812
-97.117491,32.735931
-97.374554,32.844427
-105.158292,40.034592
-97.742197,32.776492
-97.50099,35.71832
-97.444553,32.896058
-95.656048,30.212426
-96.742147,32.863273
-97.503044,32.835836
-98.428186,29.499827
-97.194297,32.768816
-97.408692,32.661715
-97.081674,32.830782
-97.465574,32.77478
-97.627112,32.673321
-97.798942,30.175055
-97.288613,32.886287
-96.896515,32.789861
-117.604217,33.477812
-97.104771,32.579203
-97.223226,32.681428
-97.709762,30.694231
-97.218925,37.656564
-97.138071,32.655283
-97.100595,32.610428
-97.114703,32.628952
-97.283872,32.890917
-97.371115,32.752644
-111.998352,33.321098
-93.358941,44.892628
-96.965876,32.95672
-97.730017,35.225001
-97.492113,32.754277
-96.94058,32.883733
-99.543665,32.309761
-97.663199,32.704307
-122.185281,47.531909
-97.375219,32.79725
-97.368795,32.609324
-118.841479,34.159765
-92.042211,30.170342
-97.413606,32.675175
-97.181677,32.904495
-97.139812,32.815399
-87.957674,42.051461
-97.103687,32.952465
-94.789999,32.540296
-97.502896,32.938265
-97.338879,32.954467
-97.449225,32.668309
-97.629905,32.74837
-97.168925,32.835149
-99.098888,31.933207
-95.354367,35.737999
-96.780416,32.805296
-96.853171,33.087406
-97.193034,32.659387
-97.239687,32.961854
-97.251898,32.90339
-97.180944,32.556653
-97.34001,32.914881
-98.514217,33.880209
-94.618274,39.007593
-118.259085,34.148163
-83.000544,39.9471
-84.448101,39.37776
-89.722033,35.075481
-96.771628,32.891112
-94.6456,38.952037
-97.225228,32.823535
-97.161544,33.213793
-97.432935,32.673522
-97.184534,32.660315
-117.198971,32.840442
-97.333851,32.813873
-97.349846,32.723473
-97.141704,32.877881
-97.658709,32.718402
-97.123748,32.66735
-97.058128,32.726263
-97.108534,32.648311
-97.10787,32.600645
-96.280823,32.74744
-97.004831,32.649556
-97.40112,32.661944
-97.284623,32.915327
-97.537349,35.484355
-96.809303,32.952967
-89.918376,29.935742
-84.282169,30.459447
-87.520779,33.187017
-97.082794,32.764801
-97.382873,32.991027
-97.378869,32.706062
-94.176636,36.062302
-97.177106,32.881387
-97.685272,32.77111
-97.376129,32.749453
-96.706041,33.112839
-97.166618,32.643383
-95.321044,32.200706
-97.101398,32.859563
-99.731874,32.351346
-97.514356,32.748216
-97.261419,32.962622
-87.730738,41.940116
-97.300621,32.664263
-94.06192,33.478182
-97.290481,32.889159
-97.142839,32.765041
-97.337549,32.748959
-111.931779,33.422122
-97.144901,32.637713
-97.516407,32.892324
-84.134075,34.111668
-96.440737,32.960907
-97.354115,32.730409
-97.420228,32.693589
-122.234464,47.533841
-82.828054,27.909022
-97.64375,32.711106
-97.420265,32.703901
-96.286683,30.617625
-74.948421,40.352106
-97.218734,32.66056
-106.293974,31.743383
-101.8747,33.597
-96.706905,32.830294
-97.070676,32.859452
-110.97782,42.96051
-97.428364,32.659461
-98.569769,33.087926
-97.277963,32.960411
-97.440218,35.21215
-96.693903,32.857
-105.08452,40.60358
-97.395775,32.770499
-97.206393,32.919284
-96.747141,32.9691
-97.537445,35.317061
-97.102445,32.588415
-95.231937,30.02739
-80.147117,25.968376
-97.118415,32.546358
-97.385943,32.473145
-97.09483,32.872168
-97.840336,30.704791
-97.121109,32.768302
-97.120572,32.781161
-97.390031,32.776205
-97.379588,32.763504
-121.017124,37.659089
-112.067038,33.544421
-97.153945,32.749223
-110.957348,32.237966
-96.88867,33.0049
-95.388691,29.728843
-75.484921,39.796051
-97.09959,32.88116
-122.091255,37.862867
-122.329347,37.557607
-94.629456,38.936281
-97.532805,32.634847
-97.160981,32.748575
-76.507538,37.058033
-97.970025,30.306735
-97.2982,33.02082
-97.463693,32.768439
-97.386567,32.742016
-93.731795,36.123871
-97.486661,32.749735
-97.261412,32.544177
-95.324383,35.779812
-97.151215,32.874768
-73.952927,40.731544
-97.366031,32.700262
-105.036381,40.011361
-97.109513,32.96042
-99.74964,32.386064
-97.101463,32.956902
-97.504738,32.742371
-81.494962,27.574063
-97.416797,32.701347
-117.851046,33.66538
-96.808633,32.850476
-79.888482,32.811307
-96.48843,32.85205
-97.49003,32.763608
-97.974013,30.201466
-98.526122,33.874514
-97.375332,32.693203
-97.936933,30.425719
-97.110191,32.602375
-97.4276,32.738673
-97.448267,32.66943
-97.305385,32.872117
-81.150524,35.212601
-97.180854,32.708191
-97.271127,32.919628
-97.10221,32.58931
-97.105621,32.587631
-117.256854,33.042586
-94.176846,36.199408
-96.698222,33.125873
-97.146503,33.226042
-97.163009,32.642552
-97.14049,32.667663
-97.604447,32.679909
-97.367571,32.755434
-97.431272,32.720506
-97.538299,32.629868
-97.146948,32.869895
-97.324763,32.649173
-97.335571,32.391361
-97.271801,32.565554
-97.232162,32.777395
-97.38392,32.685978
-102.146392,32.048775
-97.18935,32.922714
-97.22873,32.670521
-97.240121,37.735393
-97.312873,33.036082
-73.945577,40.834217
-96.844705,32.886256
-97.158497,33.088569
-97.205637,32.691583
-97.227105,33.020725
-97.338172,32.751957
